name,birth_bonus,survival_bonus,energy_scale,n_steps,gamma,scenario,mode,replica,seed,steps,mean_pop_last50,final_pop,max_pop,extinct,extinction_step,total_moves
birth_0.40,0.4,0.02,3.0,4,0.95,S4,rule_learn,7,40007,500,49.92,35,215,0,500,13953
birth_0.40,0.4,0.02,3.0,4,0.95,S4,rule_learn,8,40008,500,50.88,43,212,0,500,12048
birth_0.40,0.4,0.02,3.0,4,0.95,S4,rule_learn,9,40009,500,54.26,53,222,0,500,11871
birth_0.40,0.4,0.02,3.0,4,0.95,S3,mlp_offline_learn,3,230003,500,44.64,39,189,0,500,11271
birth_0.40,0.4,0.02,3.0,4,0.95,S3,mlp_offline_learn,4,230004,500,40.92,17,189,0,500,11061
birth_0.40,0.4,0.02,3.0,4,0.95,S4,mlp_learn,0,140000,500,100.1875,0,212,1,15,379
birth_0.40,0.4,0.02,3.0,4,0.95,S4,mlp_learn,3,140003,500,100.625,0,201,1,15,388
birth_0.40,0.4,0.02,3.0,4,0.95,S3,mlp_offline_learn,5,230005,500,43.96,27,202,0,500,11300
birth_0.40,0.4,0.02,3.0,4,0.95,S3,mlp_offline_learn,6,230006,500,45.9,40,182,0,500,11273
birth_0.40,0.4,0.02,3.0,4,0.95,S4,mlp_learn,6,140006,500,99.6875,0,205,1,15,387
birth_0.40,0.4,0.02,3.0,4,0.95,S4,mlp_learn,4,140004,500,47.06,0,210,1,78,1007
birth_0.40,0.4,0.02,3.0,4,0.95,S4,mlp_learn,2,140002,500,47.02,0,210,1,126,1811
birth_0.40,0.4,0.02,3.0,4,0.95,S4,mlp_learn,7,140007,500,113.2,0,216,1,14,373
birth_0.40,0.4,0.02,3.0,4,0.95,S4,mlp_learn,8,140008,500,110.53333333333333,0,217,1,14,376
birth_0.40,0.4,0.02,3.0,4,0.95,S3,mlp_offline_learn,7,230007,500,46.26,52,200,0,500,11068
birth_0.40,0.4,0.02,3.0,4,0.95,S4,mlp_learn,9,140009,500,52.46,0,203,1,137,2409
birth_0.40,0.4,0.02,3.0,4,0.95,S3,mlp_offline_learn,9,230009,500,46.66,38,186,0,500,11118
birth_0.40,0.4,0.02,3.0,4,0.95,S3,mlp_offline_learn,8,230008,500,45.68,38,198,0,500,10750
birth_0.40,0.4,0.02,3.0,4,0.95,S4,mlp_learn,1,140001,500,50.2,49,207,0,500,10229
birth_0.40,0.4,0.02,3.0,4,0.95,S4,mlp_learn,5,140005,500,47.08,76,214,0,500,9317
birth_0.40,0.4,0.02,3.0,4,0.95,S4,mlp_offline_learn,0,240000,500,49.06,66,214,0,500,12202
birth_0.40,0.4,0.02,3.0,4,0.95,S4,mlp_offline_learn,1,240001,500,48.46,71,208,0,500,12399
birth_0.40,0.4,0.02,3.0,4,0.95,S4,mlp_offline_learn,2,240002,500,50.18,55,213,0,500,12374
survival_0.00,0.2,0.0,3.0,4,0.95,S2,rule_learn,0,20000,500,35.94,54,204,0,500,10422
survival_0.00,0.2,0.0,3.0,4,0.95,S2,rule_learn,1,20001,500,33.78,30,199,0,500,11429
survival_0.00,0.2,0.0,3.0,4,0.95,S2,rule_learn,2,20002,500,36.36,21,205,0,500,11628
survival_0.00,0.2,0.0,3.0,4,0.95,S2,rule_learn,3,20003,500,34.54,36,199,0,500,12046
survival_0.00,0.2,0.0,3.0,4,0.95,S2,rule_learn,4,20004,500,38.48,26,207,0,500,10635
survival_0.00,0.2,0.0,3.0,4,0.95,S2,rule_learn,5,20005,500,33.3,36,213,0,500,12622
survival_0.00,0.2,0.0,3.0,4,0.95,S2,rule_learn,6,20006,500,37.64,38,199,0,500,12058
survival_0.00,0.2,0.0,3.0,4,0.95,S2,rule_learn,7,20007,500,37.04,21,210,0,500,10486
survival_0.00,0.2,0.0,3.0,4,0.95,S2,rule_learn,8,20008,500,32.74,27,210,0,500,12630
survival_0.00,0.2,0.0,3.0,4,0.95,S2,rule_learn,9,20009,500,37.2,65,203,0,500,10726
survival_0.00,0.2,0.0,3.0,4,0.95,S2,mlp_learn,0,120000,500,74.72222222222223,0,191,1,17,345
survival_0.00,0.2,0.0,3.0,4,0.95,S2,mlp_learn,1,120001,500,60.77272727272727,0,189,1,21,355
birth_0.40,0.4,0.02,3.0,4,0.95,S4,mlp_offline_learn,3,240003,500,51.16,51,213,0,500,11967
survival_0.00,0.2,0.0,3.0,4,0.95,S2,mlp_learn,2,120002,500,98.92307692307692,0,182,1,12,354
survival_0.00,0.2,0.0,3.0,4,0.95,S2,mlp_learn,3,120003,500,79.6875,0,194,1,15,406
survival_0.00,0.2,0.0,3.0,4,0.95,S2,mlp_learn,4,120004,500,79.82352941176471,0,176,1,16,428
survival_0.00,0.2,0.0,3.0,4,0.95,S2,mlp_learn,5,120005,500,102.92307692307692,0,189,1,12,371
birth_0.40,0.4,0.02,3.0,4,0.95,S4,mlp_offline_learn,5,240005,500,53.06,43,207,0,500,12369
birth_0.40,0.4,0.02,3.0,4,0.95,S4,mlp_offline_learn,4,240004,500,49.62,74,211,0,500,12151
survival_0.00,0.2,0.0,3.0,4,0.95,S2,mlp_learn,7,120007,500,67.52631578947368,0,184,1,18,375
survival_0.00,0.2,0.0,3.0,4,0.95,S2,mlp_learn,8,120008,500,85.2,0,190,1,14,350
survival_0.00,0.2,0.0,3.0,4,0.95,S2,mlp_offline_learn,1,220001,500,92.07142857142857,0,202,1,13,296
birth_0.40,0.4,0.02,3.0,4,0.95,S4,mlp_offline_learn,6,240006,500,50.16,68,210,0,500,12303
survival_0.00,0.2,0.0,3.0,4,0.95,S2,mlp_learn,9,120009,500,31.28,0,183,1,175,2299
survival_0.00,0.2,0.0,3.0,4,0.95,S2,mlp_learn,6,120006,500,29.36,0,198,1,252,3550
birth_0.40,0.4,0.02,3.0,4,0.95,S4,mlp_offline_learn,7,240007,500,51.2,47,202,0,500,12053
birth_0.40,0.4,0.02,3.0,4,0.95,S4,mlp_offline_learn,8,240008,500,51.16,37,215,0,500,12164
birth_0.40,0.4,0.02,3.0,4,0.95,S4,mlp_offline_learn,9,240009,500,50.92,55,203,0,500,12212
survival_0.00,0.2,0.0,3.0,4,0.95,S2,mlp_offline_learn,7,220007,500,94.6923076923077,0,202,1,12,246
survival_0.00,0.2,0.0,3.0,4,0.95,S2,mlp_offline_learn,0,220000,500,37.64,45,197,0,500,9299
survival_0.00,0.2,0.0,3.0,4,0.95,S3,rule_learn,0,30000,500,44.5,58,209,0,500,12066
survival_0.00,0.2,0.0,3.0,4,0.95,S3,rule_learn,1,30001,500,40.86,42,212,0,500,14503
survival_0.00,0.2,0.0,3.0,4,0.95,S3,rule_learn,2,30002,500,37.86,48,214,0,500,11881
survival_0.00,0.2,0.0,3.0,4,0.95,S2,mlp_offline_learn,8,220008,500,34.86,0,198,1,82,1346
survival_0.00,0.2,0.0,3.0,4,0.95,S3,rule_learn,3,30003,500,43.56,39,203,0,500,11974
survival_0.00,0.2,0.0,3.0,4,0.95,S3,rule_learn,4,30004,500,47.18,12,214,0,500,9818
survival_0.00,0.2,0.0,3.0,4,0.95,S3,rule_learn,5,30005,500,44.48,22,206,0,500,12817
survival_0.00,0.2,0.0,3.0,4,0.95,S3,rule_learn,6,30006,500,39.2,15,197,0,500,13317
survival_0.00,0.2,0.0,3.0,4,0.95,S3,rule_learn,7,30007,500,43.58,26,206,0,500,10656
survival_0.00,0.2,0.0,3.0,4,0.95,S3,rule_learn,8,30008,500,44.48,45,217,0,500,12695
survival_0.00,0.2,0.0,3.0,4,0.95,S3,rule_learn,9,30009,500,43.22,15,219,0,500,11771
survival_0.00,0.2,0.0,3.0,4,0.95,S2,mlp_offline_learn,2,220002,500,38.08,37,187,0,500,9389
survival_0.00,0.2,0.0,3.0,4,0.95,S3,mlp_learn,0,130000,500,73.42105263157895,0,200,1,18,384
survival_0.00,0.2,0.0,3.0,4,0.95,S3,mlp_learn,2,130002,500,91.5625,0,198,1,15,402
survival_0.00,0.2,0.0,3.0,4,0.95,S2,mlp_offline_learn,9,220009,500,37.48,0,188,1,157,2943
survival_0.00,0.2,0.0,3.0,4,0.95,S3,mlp_learn,3,130003,500,77.47368421052632,0,209,1,18,375
survival_0.00,0.2,0.0,3.0,4,0.95,S3,mlp_learn,5,130005,500,78.0,0,207,1,18,393
survival_0.00,0.2,0.0,3.0,4,0.95,S3,mlp_learn,6,130006,500,87.375,0,205,1,15,347
survival_0.00,0.2,0.0,3.0,4,0.95,S2,mlp_offline_learn,5,220005,500,36.42,22,192,0,500,9531
survival_0.00,0.2,0.0,3.0,4,0.95,S2,mlp_offline_learn,3,220003,500,39.6,29,189,0,500,9462
survival_0.00,0.2,0.0,3.0,4,0.95,S2,mlp_offline_learn,4,220004,500,33.16,25,195,0,500,9317
survival_0.00,0.2,0.0,3.0,4,0.95,S3,mlp_learn,7,130007,500,100.14285714285714,0,193,1,13,375
survival_0.00,0.2,0.0,3.0,4,0.95,S3,mlp_learn,8,130008,500,68.9,0,195,1,19,365
survival_0.00,0.2,0.0,3.0,4,0.95,S3,mlp_learn,9,130009,500,72.75,0,202,1,19,367
survival_0.00,0.2,0.0,3.0,4,0.95,S3,mlp_learn,1,130001,500,46.76,0,214,1,142,2107
survival_0.00,0.2,0.0,3.0,4,0.95,S2,mlp_offline_learn,6,220006,500,38.62,37,199,0,500,9675
survival_0.00,0.2,0.0,3.0,4,0.95,S3,mlp_learn,4,130004,500,41.82,0,194,1,294,5222
survival_0.00,0.2,0.0,3.0,4,0.95,S3,mlp_offline_learn,1,230001,500,40.9,23,185,0,500,11032
survival_0.00,0.2,0.0,3.0,4,0.95,S3,mlp_offline_learn,0,230000,500,40.02,32,180,0,500,11187
survival_0.00,0.2,0.0,3.0,4,0.95,S3,mlp_offline_learn,2,230002,500,41.74,29,193,0,500,10908
survival_0.00,0.2,0.0,3.0,4,0.95,S3,mlp_offline_learn,3,230003,500,40.32,32,189,0,500,11282
survival_0.00,0.2,0.0,3.0,4,0.95,S4,rule_learn,0,40000,500,46.52,27,213,0,500,13483
survival_0.00,0.2,0.0,3.0,4,0.95,S4,rule_learn,1,40001,500,50.92,83,218,0,500,11856
survival_0.00,0.2,0.0,3.0,4,0.95,S4,rule_learn,2,40002,500,48.44,77,219,0,500,14501
survival_0.00,0.2,0.0,3.0,4,0.95,S3,mlp_offline_learn,4,230004,500,43.52,47,189,0,500,11070
survival_0.00,0.2,0.0,3.0,4,0.95,S4,rule_learn,3,40003,500,50.68,89,220,0,500,12157
survival_0.00,0.2,0.0,3.0,4,0.95,S4,rule_learn,4,40004,500,49.96,58,219,0,500,14287
survival_0.00,0.2,0.0,3.0,4,0.95,S4,rule_learn,5,40005,500,52.1,31,220,0,500,12762
survival_0.00,0.2,0.0,3.0,4,0.95,S4,rule_learn,6,40006,500,53.82,31,216,0,500,12103
survival_0.00,0.2,0.0,3.0,4,0.95,S4,rule_learn,7,40007,500,46.58,47,215,0,500,15064
survival_0.00,0.2,0.0,3.0,4,0.95,S4,rule_learn,8,40008,500,50.2,34,212,0,500,12897
survival_0.00,0.2,0.0,3.0,4,0.95,S4,rule_learn,9,40009,500,48.86,45,222,0,500,13434
survival_0.00,0.2,0.0,3.0,4,0.95,S3,mlp_offline_learn,5,230005,500,42.22,54,202,0,500,10702
survival_0.00,0.2,0.0,3.0,4,0.95,S4,mlp_learn,3,140003,500,100.625,0,201,1,15,388
survival_0.00,0.2,0.0,3.0,4,0.95,S3,mlp_offline_learn,6,230006,500,44.16,24,182,0,500,11148
survival_0.00,0.2,0.0,3.0,4,0.95,S3,mlp_offline_learn,7,230007,500,44.16,42,200,0,500,11132
survival_0.00,0.2,0.0,3.0,4,0.95,S4,mlp_learn,6,140006,500,99.6875,0,205,1,15,387
survival_0.00,0.2,0.0,3.0,4,0.95,S4,mlp_learn,7,140007,500,113.2,0,216,1,14,373
survival_0.00,0.2,0.0,3.0,4,0.95,S4,mlp_learn,8,140008,500,110.53333333333333,0,217,1,14,376
survival_0.00,0.2,0.0,3.0,4,0.95,S3,mlp_offline_learn,9,230009,500,37.5,23,186,0,500,10963
survival_0.00,0.2,0.0,3.0,4,0.95,S3,mlp_offline_learn,8,230008,500,44.42,17,198,0,500,10850
survival_0.00,0.2,0.0,3.0,4,0.95,S4,mlp_learn,1,140001,500,50.74,29,207,0,500,10350
survival_0.00,0.2,0.0,3.0,4,0.95,S4,mlp_learn,2,140002,500,44.2,30,210,0,500,7970
survival_0.00,0.2,0.0,3.0,4,0.95,S4,mlp_learn,0,140000,500,47.66,35,212,0,500,9422
survival_0.00,0.2,0.0,3.0,4,0.95,S4,mlp_learn,4,140004,500,48.14,37,210,0,500,9143
survival_0.00,0.2,0.0,3.0,4,0.95,S4,mlp_learn,5,140005,500,53.36,58,214,0,500,9345
survival_0.00,0.2,0.0,3.0,4,0.95,S4,mlp_learn,9,140009,500,44.52,16,203,0,500,9712
survival_0.00,0.2,0.0,3.0,4,0.95,S4,mlp_offline_learn,0,240000,500,49.36,75,214,0,500,12047
survival_0.00,0.2,0.0,3.0,4,0.95,S4,mlp_offline_learn,1,240001,500,51.5,49,208,0,500,12361
survival_0.00,0.2,0.0,3.0,4,0.95,S4,mlp_offline_learn,2,240002,500,51.32,33,213,0,500,12077
survival_0.05,0.2,0.05,3.0,4,0.95,S2,rule_learn,0,20000,500,37.64,22,204,0,500,11080
survival_0.05,0.2,0.05,3.0,4,0.95,S2,rule_learn,1,20001,500,33.44,33,199,0,500,11932
survival_0.05,0.2,0.05,3.0,4,0.95,S2,rule_learn,2,20002,500,35.64,47,205,0,500,11801
survival_0.05,0.2,0.05,3.0,4,0.95,S2,rule_learn,3,20003,500,33.36,63,199,0,500,11832
survival_0.05,0.2,0.05,3.0,4,0.95,S2,rule_learn,4,20004,500,38.24,34,207,0,500,10221
survival_0.05,0.2,0.05,3.0,4,0.95,S2,rule_learn,5,20005,500,32.44,35,213,0,500,12756
survival_0.05,0.2,0.05,3.0,4,0.95,S2,rule_learn,6,20006,500,34.54,29,199,0,500,12024
survival_0.05,0.2,0.05,3.0,4,0.95,S2,rule_learn,7,20007,500,38.08,56,210,0,500,10523
survival_0.05,0.2,0.05,3.0,4,0.95,S2,rule_learn,8,20008,500,35.38,22,210,0,500,12683
survival_0.00,0.2,0.0,3.0,4,0.95,S4,mlp_offline_learn,4,240004,500,46.86,10,211,0,500,12087
survival_0.05,0.2,0.05,3.0,4,0.95,S2,rule_learn,9,20009,500,33.76,18,203,0,500,10522
survival_0.00,0.2,0.0,3.0,4,0.95,S4,mlp_offline_learn,3,240003,500,52.12,48,213,0,500,12179
survival_0.00,0.2,0.0,3.0,4,0.95,S4,mlp_offline_learn,5,240005,500,49.66,49,207,0,500,12143
survival_0.05,0.2,0.05,3.0,4,0.95,S2,mlp_learn,0,120000,500,74.72222222222223,0,191,1,17,345
survival_0.05,0.2,0.05,3.0,4,0.95,S2,mlp_learn,2,120002,500,98.92307692307692,0,182,1,12,354
survival_0.05,0.2,0.05,3.0,4,0.95,S2,mlp_learn,1,120001,500,60.77272727272727,0,189,1,21,355
survival_0.05,0.2,0.05,3.0,4,0.95,S2,mlp_learn,3,120003,500,79.875,0,194,1,15,409
survival_0.05,0.2,0.05,3.0,4,0.95,S2,mlp_learn,5,120005,500,102.92307692307692,0,189,1,12,371
survival_0.05,0.2,0.05,3.0,4,0.95,S2,mlp_learn,4,120004,500,79.82352941176471,0,176,1,16,428
survival_0.00,0.2,0.0,3.0,4,0.95,S4,mlp_offline_learn,6,240006,500,48.94,59,210,0,500,12473
survival_0.05,0.2,0.05,3.0,4,0.95,S2,mlp_learn,7,120007,500,67.52631578947368,0,184,1,18,375
survival_0.05,0.2,0.05,3.0,4,0.95,S2,mlp_learn,8,120008,500,85.2,0,190,1,14,350
