scenario,layer,mode,avg_final_global,avg_final_survived,avg_last50_global,avg_last50_survived,avg_max_pop,avg_steps_alive,total_moves,std_final_global,std_final_survived,std_last50_global,std_last50_survived,std_moves,n_extinctions,extinction_rate,avg_movement_frequency,std_movement_frequency,avg_harvested_food,std_harvested_food,avg_reproduction_events,std_reproduction_events,avg_action_entropy,std_action_entropy,avg_policy_confidence,std_policy_confidence,avg_reward,std_reward
S2,0,Rule-Random/Evo,12.696666666666667,39.2680412371134,12.253200000000001,37.519793814432994,206.18,1318.3866666666668,24643.5,20.660611278879077,16.58972791111863,17.632714856312212,2.863353940814514,12109.517650002377,203,0.6766666666666666,0.7181377828649702,0.08994976955374034,1.7512886325637722,0.06540163971467479,16111.423333333334,8048.388136106527,1.5701287318321855,0.07977071069892647,0.02442416715688262,0.04956432931189121,0.1417613125217063,0.03252790274285983
S2,0,Rule-Random/Fix,32.123333333333335,34.66546762589928,31.17873333333333,33.64611510791367,205.23333333333332,1876.4233333333334,44305.13333333333,15.052687475097777,12.495470441303505,9.345647444098608,3.3106573367146845,12620.691050183008,22,0.07333333333333333,0.7905971128727627,0.1363120785929334,1.6644000291886973,0.12469973808838539,10162.553333333333,5946.137869719127,1.4937939339788788,0.09761860691909345,0.07185364378568819,0.060653850741875404,nan,nan
S2,0,Rule-Random/Learn,16.61,37.1865671641791,16.51573333333333,36.017014925373125,205.30333333333334,1556.82,32683.21,22.059464330649188,17.973735186323587,18.16938821265858,4.889661647019346,14997.423911654058,166,0.5533333333333333,0.742942612219749,0.13462975541662714,1.716162531205122,0.09653423754435528,13944.82,7846.232243716798,1.5266936952897119,0.1080763332225125,0.05141187274459492,0.06715160143025262,0.05513600375633417,0.030851009131439504
S2,0,Rule-Random/Random,35.49666666666667,36.22108843537415,35.3472,36.06857142857143,195.19333333333333,1964.79,39497.793333333335,15.342575979318447,14.624845526059223,5.296432461200039,1.587137720345878,5171.1867217295685,6,0.02,0.748829739743622,0.05872784920987963,1.703790582514339,0.03162107604021953,19246.443333333333,2495.273443663251,1.582084761277101,0.04669051982231481,0.016995468384133298,0.029010451078352227,0.11184399601719659,0.011367048111007007
S2,1,MLP-EvoTop5/Evo,6.613333333333333,32.0,6.708266666666667,31.821290322580648,171.59666666666666,998.3966666666666,16316.393333333333,15.631537740392657,19.28730152198591,14.44113998532693,13.736280485868882,12025.887062392263,238,0.7933333333333333,0.6917082137386592,0.06374759694711633,1.8454166750637429,0.09597381162453845,14072.13,9076.576315907612,1.5810994516416088,0.033745377360217065,0.01760767568202296,0.020967181833799874,nan,nan
S2,1,MLP-EvoTop5/Fix,8.583333333333334,32.59493670886076,8.482866666666666,31.6420253164557,170.96666666666667,1070.23,15494.736666666666,18.652509462618315,23.259141565029793,16.249339655702222,16.195203023540948,10843.575344021014,221,0.7366666666666667,0.6811918957429597,0.055584469663855926,1.901272145702889,0.05516280380656366,18236.81,12892.086348426476,1.588935414620426,0.026638562434247566,0.012738918137367893,0.01655146944684534,nan,nan
S2,1,MLP-EvoTop5/Learn,14.396666666666667,35.113821138211385,16.118,37.98341463414634,196.93333333333334,1208.6466666666668,22324.596666666668,20.573044404652613,17.432400233535613,18.755502202720518,1.6805340823914192,15668.65870240431,177,0.59,0.6337677954773098,0.19049647300867456,1.6985567153666985,0.130103116589419,16381.49,11442.345038342808,1.511515720446201,0.1175005524603011,0.060842478750735056,0.07300719807363942,0.05330316575956569,0.05200213448562058
S2,1,MLP-Random/Evo,0.03666666666666667,1.0,0.03666666666666667,1.0,195.17,112.70666666666666,656.3433333333334,0.18825609351281192,0.0,0.18825609351281192,0.0,1028.6347766829394,289,0.9633333333333334,0.40972740189452767,0.10014040728780739,1.5766895453845464,0.1468610916726244,540.2066666666667,580.4872050899422,1.423359772385121,0.07323774504791056,0.11561684897030679,0.045505169526637045,0.011338534219248695,0.02021475984314923
S2,1,MLP-Random/Fix,0.12,3.0,0.16419999999999998,4.1049999999999995,195.85666666666665,130.27,852.6666666666666,1.3995699291646964,6.619530332144556,2.1593842086426207,10.445074089123194,2892.0702001098507,288,0.96,0.40636588644550636,0.10796866438933887,1.583500816673062,0.1734272671082958,578.6466666666666,1062.333876915522,1.4100431383842962,0.07993756195687582,0.12389093888576364,0.04966799982733035,0.011651869197593912,0.01940668774704493
S2,1,MLP-Random/Learn,0.0,nan,0.0,nan,191.69,51.32,867.5766666666667,0.0,nan,0.0,nan,2640.5945573253275,300,1.0,0.39847641249695515,0.04376472932640062,1.5425408884501124,0.04971061199436967,725.91,1794.9780619018804,1.436228830489843,0.037770330211426784,0.10762085359496557,0.023468025650211787,-0.061201657643818234,0.01668745520141659
S2,1,MLP-Random/Random,0.16333333333333333,1.0425531914893618,0.16333333333333333,1.0425531914893618,169.33666666666667,469.38666666666666,2654.11,0.38793108146781025,0.20402970888857874,0.38793108146781025,0.20402970888857874,3476.592318886287,253,0.8433333333333334,0.5240877240415769,0.10474506731655434,1.6826074046911057,0.20601462800020462,1356.2366666666667,1854.81351747399,1.5009025803317817,0.058123871922770284,0.06743679346919994,0.03611439215748573,0.011875951571821274,0.025315463454823307
S2,2,MLP-EvoTop5/Evo,4.263333333333334,29.74418604651163,4.511133333333333,30.23720930232558,151.71,980.42,15713.933333333332,13.154624130279002,21.353145216366354,12.13770531649437,14.743396637394332,10885.940897919614,257,0.8566666666666667,0.6780515795708124,0.06001280904214363,1.8286282934043208,0.07802753853772869,13735.963333333333,8325.771878123016,1.583838481517857,0.029644270435385218,0.015905820733107305,0.01841902083103751,nan,nan
S2,2,MLP-EvoTop5/Fix,22.436666666666667,34.6958762886598,22.643200000000004,34.94567010309279,150.99,1620.0066666666667,25302.31333333333,22.78779499846051,19.414894221239578,19.737834653681077,13.130660035517039,10485.739723085342,106,0.35333333333333333,0.7198977650912453,0.03220361391948971,1.891802395537674,0.03912534443008793,27144.613333333335,11416.43285301705,1.5813028193634349,0.01359752688359274,0.01748131621189046,0.00844861847638966,nan,nan
S2,2,MLP-EvoTop5/Learn,17.96,36.16107382550336,18.922333333333334,37.81489932885906,194.63333333333333,1252.8266666666666,23554.99,21.385419969946113,16.16555694281951,18.962676487090878,1.6335422534635884,16430.94323958228,151,0.5033333333333333,0.6361337171735958,0.19911225417341016,1.693817003664788,0.12950955105687886,16589.923333333332,11467.515481065802,1.4990889822778937,0.12157734743290188,0.0685636452973298,0.07554025321115329,0.0525765636731233,0.05084447486000826
S2,2,MLP-Random/Evo,0.03333333333333333,1.0,0.03333333333333333,1.0,199.35,97.04333333333334,496.64666666666665,0.17980541941701306,0.0,0.17980541941701306,0.0,512.2131615827055,290,0.9666666666666667,0.3926290504518715,0.09530509229656077,1.5749344481645375,0.15595981650816623,483.7366666666667,323.77065769590416,1.416085805007395,0.07651373423436832,0.12013641901493494,0.04754065605342277,0.012920561084178167,0.021219268294777858
S2,2,MLP-Random/Fix,0.07666666666666666,5.75,0.16846666666666665,12.635,200.57666666666665,55.626666666666665,603.7266666666667,0.8832076433999477,5.852349955359813,2.3189327601382415,18.053611827000157,2634.4935502248136,296,0.9866666666666667,0.3755627429925566,0.0717265078705963,1.55105391393404,0.09049787290303173,498.17,555.0422212088147,1.4064135615046287,0.07567929115387455,0.12614612179877085,0.04702218741661046,0.011273226471547663,0.01910594247916229
S2,2,MLP-Random/Learn,0.0,nan,0.0,nan,190.92,29.643333333333334,558.59,0.0,nan,0.0,nan,840.1287896371946,300,1.0,0.3987915107495284,0.03685917338986678,1.540072837759262,0.04491714583410678,521.0233333333333,677.8796887084268,1.4391227759596557,0.03607518638432255,0.10582274417586048,0.022414773571328858,-0.06126558211220322,0.014880403190933488
S2,2,MLP-Random/Random,0.12666666666666668,1.0555555555555556,0.12666666666666668,1.0555555555555556,168.00333333333333,345.7133333333333,1750.4633333333334,0.3526614844734142,0.2323106841457232,0.3526614844734142,0.2323106841457232,2290.266088874475,264,0.88,0.5256120512743785,0.09824019483257639,1.6510610279761655,0.19611749005715332,815.27,1083.8969997746103,1.503615628777416,0.055315125892027,0.06575108169077458,0.034369220126279285,0.001102684231758184,0.02380986410338998
S2,3,MLP-EvoTop5/Evo,2.89,22.23076923076923,2.729,20.369743589743592,132.58333333333334,852.39,12907.123333333333,11.387573171772592,24.06401718493658,9.44004139849774,17.85009383539828,9343.707942881229,261,0.87,0.6984053242362971,0.059785168672682285,1.8660395214715686,0.15111446452749644,10951.903333333334,7282.54350578843,1.5763673981037118,0.038723223316487504,0.0205478658573245,0.024060091425287,nan,nan
S2,3,MLP-EvoTop5/Fix,26.55666666666667,34.047008547008545,28.23006666666667,35.94641025641025,129.23666666666668,1767.96,28881.42,20.547199653502464,16.901441504155247,17.88154696145362,11.534870808516441,9987.397870868908,66,0.22,0.7466161313629268,0.028985913948219172,1.8965835205712274,0.0513411478381961,29209.013333333332,10348.203465806095,1.5601526014102227,0.011724384213528671,0.030622685499771183,0.007284769498064586,nan,nan
S2,3,MLP-EvoTop5/Learn,21.563333333333333,37.83040935672515,21.503266666666665,37.72502923976609,190.08,1336.4733333333334,24809.353333333333,23.14125568339446,17.968613464356157,18.750960983058516,1.6833036055779633,16159.303814450503,129,0.43,0.6409595782878409,0.1834751056559416,1.6991437314923723,0.11901821075089387,17618.986666666668,11440.15213576523,1.5221779439033434,0.0967807769940694,0.05421766683673153,0.0601332777402385,0.05386406782595008,0.05011577720392633
S2,3,MLP-Random/Evo,0.0,nan,0.0,nan,203.87,27.073333333333334,357.75,0.0,nan,0.0,nan,242.45463148341628,300,1.0,0.3614622935029574,0.04401063038904476,1.543216854256548,0.039138308009755374,437.35333333333335,115.48766090638276,1.4075792703632726,0.0697601067318472,0.1254218261613697,0.04334439135110382,0.010860195356890815,0.012638593237964459
S2,3,MLP-Random/Fix,0.0,nan,0.0,nan,203.58333333333334,22.503333333333334,336.3566666666667,0.0,nan,0.0,nan,99.84862852144876,300,1.0,0.3558015954700447,0.04478553775310856,1.5435340205273953,0.03131279952913421,442.47333333333336,120.17610804720489,1.398098967595174,0.08316974251281933,0.13131226946139168,0.05167626652154237,0.012057927798937034,0.012250013597446593
S2,3,MLP-Random/Learn,0.0,nan,0.0,nan,190.28333333333333,25.83,495.0,0.0,nan,0.0,nan,936.9014254106218,300,1.0,0.393502163422747,0.02894677965533232,1.5335006952634944,0.0356921746549278,478.08,821.4462490430458,1.4360912936729404,0.03084379639167204,0.10770631002409532,0.01916432821258954,-0.06339518956717226,0.012010787463396656
S2,3,MLP-Random/Random,0.06333333333333334,1.0,0.06333333333333334,1.0,165.44,198.93,1021.25,0.2439684903901178,0.0,0.2439684903901178,0.0,1124.4196842167878,281,0.9366666666666666,0.5217233492823032,0.08959963545127653,1.6069352213752575,0.16251411121970816,463.7866666666667,476.079524380121,1.5086251493003153,0.05672390087664205,0.06263849158450396,0.03524454123915429,-0.010959787957380935,0.020149411356199683
S3,0,Random,0.13333333333333333,40.0,0.1632,48.96,193.88,129.86666666666667,1666.4833333333333,2.3094010767585034,nan,2.8267069179524076,nan,3575.0884625099084,299,0.9966666666666667,0.2965717351096841,0.04884644283557186,1.4118916658220735,0.06539033195185456,1879.9333333333334,3839.4480445124645,1.6079888338827177,0.0013424302215982971,0.0009003631268950215,0.0008340987938876243,0.011165897555499717,0.026021393309519924
S3,0,Rule-Fixed/Evo,18.166666666666668,46.58119658119658,17.592666666666666,44.578290598290586,208.99,1162.6866666666667,24097.466666666667,26.211237771369102,20.877821641322758,21.938380585127103,4.611939955832464,17336.724747544715,183,0.61,0.6069831733694383,0.18173347034460557,1.5929102600392062,0.11936174597597028,18449.916666666668,13016.60781642222,1.5150602784244522,0.1577045068788898,0.058640121051275716,0.09798731946135085,nan,nan
S3,0,Rule-Fixed/Fix,29.60333333333333,44.405,29.11853333333334,43.677800000000005,209.19,1442.6866666666667,31894.42,25.598899737713218,18.000864719597953,20.67711417689867,1.8101120651612186,18874.9482259433,100,0.3333333333333333,0.6254453435045819,0.20534948092608282,1.5600459389360495,0.11204647680586254,20665.81,12114.245552720373,1.4892939180493365,0.16495670737414125,0.07464966088878763,0.10249336498148111,nan,nan
S3,0,Rule-Fixed/Learn,5.053333333333334,50.53333333333333,5.0826,47.666000000000004,209.10666666666665,939.3333333333334,17916.233333333334,17.04343719422623,24.848136450395458,14.549964839456878,1.6096017926911255,12518.487915794058,270,0.9,0.588954617106296,0.17213401865366654,1.6161316791272218,0.13419938241751075,17256.663333333334,12957.178052606416,1.5211391898348503,0.16210064896704446,0.05486308102790238,0.1007187961180092,0.06854545279430593,0.052769206935269465
S3,0,Rule-Random/Evo,22.37,44.151315789473685,22.9116,44.50092105263158,210.77333333333334,1523.4733333333334,32531.706666666665,26.07693338660622,19.454058589616356,22.425408101863322,4.3145319446042825,13215.330949101115,148,0.49333333333333335,0.7159725675939942,0.03614279898008418,1.64384305525254,0.03227059621629714,23195.763333333332,9559.234573232095,1.586827583971445,0.017637444017830812,0.014048586955715219,0.010958760124617726,0.15132932053372794,0.02268879330520698
S3,0,Rule-Random/Fix,40.78333333333333,42.77972027972028,39.63506666666667,41.57524475524475,210.44,1952.2733333333333,50764.92,16.15279433322484,13.712220491177751,8.988255714999228,1.9521532267182387,8909.270787977639,14,0.04666666666666667,0.7880751977474131,0.05615012596261128,1.5528647359627417,0.04829592686229799,18212.333333333332,6501.512249262726,1.5270883288769714,0.05025758288369786,0.05116667311048,0.031226791972166677,nan,nan
S3,0,Rule-Random/Learn,21.733333333333334,49.770992366412216,20.525333333333336,46.339999999999996,210.56,1611.0566666666666,35809.90666666667,27.770841200056427,19.173124172812713,22.9923503540831,2.7663093992371306,12314.764004216811,169,0.5633333333333334,0.7281369014207267,0.05689697384427211,1.6315814422673922,0.049680354978963726,23090.316666666666,8310.958780382658,1.5728649072942464,0.04744669701312281,0.022724085755219548,0.02948029038371839,0.07871141924921969,0.018471362847020795
S3,0,Rule-Random/Random,41.71333333333333,41.71333333333333,42.638,42.638,201.49,2000.0,47428.04666666667,14.730278087349804,14.730278087349804,1.5950353578031242,1.5950353578031242,371.1407135481983,0,0.0,0.750552518747605,0.00542285618200718,1.5813967771580717,0.0025327057603698553,22880.213333333333,291.25365254813715,1.5849201329349478,0.0030791899456470893,0.015233752920652849,0.0019132082833752497,0.10901363444676268,0.0017444571566460894
S3,1,MLP-EvoTop5/Evo,21.623333333333335,45.683098591549296,21.7272,45.225352112676056,135.91333333333333,1494.58,30064.273333333334,26.375753831682623,19.191594539509587,22.76722455357503,4.609618630395636,13518.205336892548,158,0.5266666666666666,0.7023124899725278,0.05124668441186074,1.7052235486948535,0.045058724539880114,26201.83,10594.098500796656,1.5821525643547178,0.023192167248712578,0.016953339963339278,0.014410103719774404,nan,nan
S3,1,MLP-EvoTop5/Fix,45.126666666666665,45.126666666666665,45.4456,45.4456,132.01333333333332,2000.0,43602.86666666667,13.428764946269732,13.428764946269732,4.691596768777415,4.691596768777415,2453.9700593929174,0,0.0,0.7762974963378728,0.02632065161291052,1.7210112842582286,0.021802596595391577,35963.316666666666,2522.823547514809,1.5381441698540828,0.015677423157864145,0.044297292880465,0.009740930691854858,nan,nan
S3,1,MLP-EvoTop5/Learn,42.28,43.43835616438356,43.4222,44.61184931506849,193.52333333333334,1966.8966666666668,43197.693333333336,18.740837672193802,17.617732633072933,7.370227677173747,1.599612712330613,4780.229744897439,8,0.02666666666666667,0.7413660084297032,0.03777524430785888,1.6366499546537512,0.023654855236276178,29807.943333333333,3355.232431444795,1.5742735656508322,0.02511243156004999,0.021848837107413296,0.015603231019996392,0.08422236832153973,0.009989672981348873
S3,1,MLP-Random/Evo,0.24,4.235294117647059,0.38166666666666665,6.735294117647059,203.32,219.88666666666666,1973.7533333333333,2.3821521423770227,9.384358074508253,3.9775458251951434,15.81721772217188,4987.878800544237,283,0.9433333333333334,0.4175323872615107,0.12788222446947828,1.5036770492620026,0.1945908831787421,1349.0966666666666,3080.850998817036,1.3922308662288065,0.09243111606237554,0.13495832583985276,0.057430681449888,0.012551480369956878,0.028692553023798306
S3,1,MLP-Random/Fix,1.1433333333333333,14.91304347826087,1.0332,13.476521739130437,204.14333333333335,247.01666666666668,2452.7166666666667,6.996615681327381,21.228011176227124,5.637244199715326,16.018236938705392,7486.5754290756795,277,0.9233333333333333,0.4136797307894028,0.1388399495273028,1.5084996021577632,0.20031451501330105,1209.67,2533.692719547953,1.3730376145993504,0.09653335590161341,0.146883763585027,0.05997954637194869,0.008378025769056763,0.023840975236549676
S3,1,MLP-Random/Learn,0.8,34.285714285714285,1.0150666666666666,43.502857142857145,200.85666666666665,149.76333333333332,2715.2766666666666,5.726778031500225,17.172791325371712,6.5981705933908055,3.624884891440068,7640.642878631669,293,0.9766666666666667,0.3856126342218612,0.07336909019362231,1.4466913309549427,0.07219757110282926,1895.6,4588.764642378579,1.4108681794793703,0.05798091171722546,0.12337831203094683,0.036025565987528915,-0.04816650361656995,0.022203674334580748
S3,1,MLP-Random/Random,2.17,7.076086956521739,2.078,6.726086956521739,179.51666666666668,898.9733333333334,8496.783333333333,12.20016036958032,21.306364779666747,8.581311653762299,14.500919179393442,9946.821756381934,208,0.6933333333333334,0.5421668695899282,0.10302511978185941,1.6240854953106791,0.21219911917885773,4333.1866666666665,5342.365161945358,1.5119509705258736,0.06617003157564316,0.060572042670964686,0.0411137522388597,0.018773432168839362,0.025339048756571562
S3,2,MLP-EvoTop5/Evo,18.04,43.645161290322584,18.725,44.6058064516129,144.52333333333334,1385.4566666666667,28260.893333333333,24.450312730968093,18.072209968471082,22.244346566725714,5.747251459989226,14272.564667076313,176,0.5866666666666667,0.7062062291193518,0.048982326639599075,1.7063955308126062,0.05756115564564276,23687.543333333335,10516.714681580372,1.575243728471943,0.027814372556085258,0.021246041054446413,0.017282041351951896,nan,nan
