scenario,alpha,beta,n_episodes,n_extinctions,extinction_rate,wilson_low,wilson_high,avg_final_population,std_final_population,avg_final_population_survivors
S3,1.5,0.0,300,0,0.0,0.0,0.012643429997735661,29.476666666666667,2.095413582684147,29.476666666666667
S3,1.5,0.25,300,0,0.0,0.0,0.012643429997735661,40.99333333333333,12.106824779562654,40.99333333333333
S3,1.5,0.5,300,92,0.30666666666666664,0.25720490495572185,0.36101722131006925,30.986666666666668,25.12816290124543,44.69230769230769
S3,1.5,0.75,300,296,0.9866666666666667,0.9662239391535502,0.9948031223153205,0.42,3.8747445702845793,31.5
S3,1.5,1.0,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S3,2.0,0.0,300,0,0.0,0.0,0.012643429997735661,29.58,2.2435936295554817,29.58
S3,2.0,0.25,300,0,0.0,0.0,0.012643429997735661,41.266666666666666,11.327692215332592,41.266666666666666
S3,2.0,0.5,300,105,0.35,0.2982310964752725,0.4055619325240481,28.786666666666665,25.65101174549353,44.287179487179486
S3,2.0,0.75,300,297,0.99,0.9710159953649371,0.9965934432372818,0.6066666666666667,6.240869361730745,60.666666666666664
S3,2.0,1.0,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S4,0.0,0.0,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S4,0.0,0.25,300,291,0.97,0.943976849008093,0.9841383267940355,0.7633333333333333,4.804609223254565,25.444444444444443
S4,0.0,0.5,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S4,0.0,0.75,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S4,0.0,1.0,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S4,0.5,0.0,300,0,0.0,0.0,0.012643429997735661,38.653333333333336,2.067382189941306,38.653333333333336
S4,0.5,0.25,300,0,0.0,0.0,0.012643429997735661,45.93,13.253828878218942,45.93
S4,0.5,0.5,300,4,0.013333333333333334,0.005196877684679467,0.03377606084644991,48.81333333333333,19.117795966873175,49.472972972972975
S4,0.5,0.75,300,211,0.7033333333333334,0.649335553589633,0.7521894515446212,15.833333333333334,27.394776902919983,53.37078651685393
S4,0.5,1.0,300,299,0.9966666666666667,0.9813628354450568,0.9994113574238592,0.23666666666666666,4.099186911246344,71.0
S4,1.0,0.0,300,0,0.0,0.0,0.012643429997735661,37.92666666666667,1.9149007909077045,37.92666666666667
S4,1.0,0.25,300,0,0.0,0.0,0.012643429997735661,47.53333333333333,12.200754769495758,47.53333333333333
S4,1.0,0.5,300,16,0.05333333333333334,0.03309162538404202,0.08486983874726851,48.55,22.763598971320203,51.28521126760563
S4,1.0,0.75,300,249,0.83,0.7833848085580865,0.8682705276434078,8.456666666666667,20.885292441255036,49.745098039215684
S4,1.0,1.0,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S4,1.5,0.0,300,0,0.0,0.0,0.012643429997735661,38.10666666666667,1.9428168587675114,38.10666666666667
S4,1.5,0.25,300,0,0.0,0.0,0.012643429997735661,45.25333333333333,12.363873724165602,45.25333333333333
S4,1.5,0.5,300,10,0.03333333333333333,0.018204749873650852,0.0602624514575691,47.93666666666667,21.072878531124168,49.58965517241379
S4,1.5,0.75,300,235,0.7833333333333333,0.7332891734257104,0.826212882908906,10.323333333333334,21.633743359113375,47.646153846153844
S4,1.5,1.0,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S4,2.0,0.0,300,0,0.0,0.0,0.012643429997735661,38.18333333333333,1.8167896514679842,38.18333333333333
S4,2.0,0.25,300,0,0.0,0.0,0.012643429997735661,47.24333333333333,13.398102579519483,47.24333333333333
S4,2.0,0.5,300,11,0.03666666666666667,0.02059509146818067,0.06445448699638771,47.873333333333335,21.08520591751879,49.69550173010381
S4,2.0,0.75,300,254,0.8466666666666667,0.8015330360133669,0.8830341858548697,8.763333333333334,22.761097235857413,57.15217391304348
S4,2.0,1.0,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
