scenario,alpha,beta,replica,seed,extinct,pop_final,n_steps_alive,reproduction_events,movement_frequency,avg_harvested_food
S2,0.0,0.0,145,3000145,1,0,12,0,0.0,0.8417688082271342
S2,0.0,0.0,146,3000146,1,0,13,0,0.0,0.8632042182965102
S2,0.0,0.0,147,3000147,1,0,13,0,0.0,0.8580728884121304
S2,0.0,0.0,148,3000148,1,0,13,0,0.0,0.7827977120530946
S2,0.0,0.0,149,3000149,1,0,12,0,0.0,0.8193683943619086
S2,0.0,0.0,150,3000150,1,0,12,0,0.0,0.8039288989983002
S2,0.0,0.0,151,3000151,1,0,12,0,0.0,0.7794956519835939
S2,0.0,0.0,152,3000152,1,0,12,0,0.0,0.8296698481321297
S2,0.0,0.0,153,3000153,1,0,12,0,0.0,0.8743173246354335
S2,0.0,0.0,154,3000154,1,0,12,0,0.0,0.8577702526253901
S2,0.0,0.0,155,3000155,1,0,12,0,0.0,0.8558014743151289
S2,0.0,0.0,156,3000156,1,0,12,0,0.0,0.8230345010230602
S2,0.0,0.0,157,3000157,1,0,11,0,0.0,0.8243062439792068
S2,0.0,0.0,158,3000158,1,0,12,0,0.0,0.8207175363523048
S2,0.0,0.0,159,3000159,1,0,12,0,0.0,0.8135370207373146
S2,0.0,0.0,160,3000160,1,0,13,0,0.0,0.8687283063148495
S2,0.0,0.0,161,3000161,1,0,13,0,0.0,0.7874507343425643
S2,0.0,0.0,162,3000162,1,0,12,0,0.0,0.827235000759858
S2,0.0,0.0,163,3000163,1,0,13,0,0.0,0.825106712612099
S2,0.0,0.0,164,3000164,1,0,12,0,0.0,0.8297556953109543
S2,0.0,0.0,165,3000165,1,0,12,0,0.0,0.8156352572419016
S2,0.0,0.0,166,3000166,1,0,12,0,0.0,0.8246620198163558
S2,0.0,0.0,167,3000167,1,0,12,0,0.0,0.8520694033158016
S2,0.0,0.0,168,3000168,1,0,11,0,0.0,0.8144035229600534
S2,0.0,0.0,169,3000169,1,0,12,0,0.0,0.8308885519808437
S2,0.0,0.0,170,3000170,1,0,13,0,0.0,0.896238474132751
S2,0.0,0.0,171,3000171,1,0,13,0,0.0,0.8767368133491958
S2,0.0,0.0,172,3000172,1,0,12,0,0.0,0.8370462657096227
S2,0.0,0.0,173,3000173,1,0,12,0,0.0,0.7795120044632174
S2,0.0,0.0,174,3000174,1,0,12,0,0.0,0.8433612663724881
S2,0.0,0.0,175,3000175,1,0,13,0,0.0,0.8374914218722789
S2,0.0,0.0,176,3000176,1,0,12,0,0.0,0.8625401107200635
S2,0.0,0.0,177,3000177,1,0,12,0,0.0,0.8908007808190275
S2,0.0,0.0,178,3000178,1,0,12,0,0.0,0.806651926323544
S2,0.0,0.0,179,3000179,1,0,12,0,0.0,0.8262402116433223
S2,0.0,0.0,180,3000180,1,0,12,0,0.0,0.8222423925720622
S2,0.0,0.0,181,3000181,1,0,13,0,0.0,0.845362488737115
S2,0.0,0.0,182,3000182,1,0,12,0,0.0,0.837405970892373
S2,0.0,0.0,183,3000183,1,0,12,0,0.0,0.851984411151949
S2,0.0,0.0,184,3000184,1,0,11,0,0.0,0.8481886852593439
S2,0.0,0.0,185,3000185,1,0,12,0,0.0,0.8980285506615188
S2,0.0,0.0,186,3000186,1,0,12,0,0.0,0.8707711072206261
S2,0.0,0.0,187,3000187,1,0,12,0,0.0,0.8605808696227133
S2,0.0,0.0,188,3000188,1,0,11,0,0.0,0.7925622137194929
S2,0.0,0.0,189,3000189,1,0,13,0,0.0,0.8638608522708922
S2,0.0,0.0,190,3000190,1,0,12,0,0.0,0.8223855486925454
S2,0.0,0.0,191,3000191,1,0,11,0,0.0,0.8517330268378973
S2,0.0,0.0,192,3000192,1,0,13,0,0.0,0.8072770782243011
S2,0.0,0.0,193,3000193,1,0,12,0,0.0,0.8349833859801872
S2,0.0,0.0,194,3000194,1,0,12,0,0.0,0.8197987731961482
S2,0.0,0.0,195,3000195,1,0,12,0,0.0,0.8085587368604229
S2,0.0,0.0,196,3000196,1,0,12,0,0.0,0.8307097000331743
S2,0.0,0.0,197,3000197,1,0,12,0,0.0,0.7908567630386646
S2,0.0,0.0,198,3000198,1,0,13,0,0.0,0.8642393334214544
S2,0.0,0.0,199,3000199,1,0,12,0,0.0,0.7851372818609187
S2,0.0,0.0,200,3000200,1,0,12,0,0.0,0.8212499484375402
S2,0.0,0.0,201,3000201,1,0,12,0,0.0,0.8335852604420249
S2,0.0,0.0,202,3000202,1,0,12,0,0.0,0.872554827814232
S2,0.0,0.0,203,3000203,1,0,13,0,0.0,0.855909170545528
S2,0.0,0.0,204,3000204,1,0,12,0,0.0,0.8604696964284143
S2,0.0,0.0,205,3000205,1,0,11,0,0.0,0.8137427888829699
S2,0.0,0.0,206,3000206,1,0,13,0,0.0,0.7887492543982293
S2,0.0,0.0,207,3000207,1,0,12,0,0.0,0.8857832501016241
S2,0.0,0.0,208,3000208,1,0,11,0,0.0,0.8939143124170299
S2,0.0,0.0,209,3000209,1,0,12,0,0.0,0.8535409980435082
S2,0.0,0.0,210,3000210,1,0,12,0,0.0,0.8795275312035671
S2,0.0,0.0,211,3000211,1,0,12,0,0.0,0.8410818600588478
S2,0.0,0.0,212,3000212,1,0,12,0,0.0,0.8134155593337841
S2,0.0,0.0,213,3000213,1,0,12,0,0.0,0.8271326571336283
S2,0.0,0.0,214,3000214,1,0,13,0,0.0,0.8225342622131346
S2,0.0,0.0,215,3000215,1,0,11,0,0.0,0.851146989321307
S2,0.0,0.0,216,3000216,1,0,12,0,0.0,0.8442700120715049
S2,0.0,0.0,217,3000217,1,0,12,0,0.0,0.8284831509922034
S2,0.0,0.0,218,3000218,1,0,12,0,0.0,0.8670028255894044
S2,0.0,0.0,219,3000219,1,0,13,0,0.0,0.8658222604352716
S2,0.0,0.0,220,3000220,1,0,12,0,0.0,0.8364863943425216
S2,0.0,0.0,221,3000221,1,0,11,0,0.0,0.8448876902731126
S2,0.0,0.0,222,3000222,1,0,12,0,0.0,0.8498225810342264
S2,0.0,0.0,223,3000223,1,0,12,0,0.0,0.8501548397626331
S2,0.0,0.0,224,3000224,1,0,12,0,0.0,0.8263222141633096
S2,0.0,0.0,225,3000225,1,0,13,0,0.0,0.8253124929468386
S2,0.0,0.0,226,3000226,1,0,12,0,0.0,0.858804270824138
S2,0.0,0.0,227,3000227,1,0,12,0,0.0,0.8716037045169186
S2,0.0,0.0,228,3000228,1,0,13,0,0.0,0.8065716580238925
S2,0.0,0.0,229,3000229,1,0,12,0,0.0,0.8249100376150257
S2,0.0,0.0,230,3000230,1,0,12,0,0.0,0.8740075006620807
S2,0.0,0.0,231,3000231,1,0,12,0,0.0,0.8200028624668398
S2,0.0,0.0,232,3000232,1,0,12,0,0.0,0.807935120616544
S2,0.0,0.0,233,3000233,1,0,13,0,0.0,0.828074643072091
S2,0.0,0.0,234,3000234,1,0,12,0,0.0,0.8675417668347455
S2,0.0,0.0,235,3000235,1,0,12,0,0.0,0.8000473080518659
S2,0.0,0.0,236,3000236,1,0,12,0,0.0,0.8325311451708114
S2,0.0,0.0,237,3000237,1,0,13,0,0.0,0.843224394018116
S2,0.0,0.0,238,3000238,1,0,12,0,0.0,0.863370503326769
S2,0.0,0.0,239,3000239,1,0,12,0,0.0,0.8197370550194244
S2,0.0,0.0,240,3000240,1,0,12,0,0.0,0.8728562651757851
S2,0.0,0.0,241,3000241,1,0,12,0,0.0,0.8263477780510756
S2,0.0,0.0,242,3000242,1,0,12,0,0.0,0.8383969214408047
S2,0.0,0.0,243,3000243,1,0,11,0,0.0,0.8215309828251571
S2,0.0,0.0,244,3000244,1,0,12,0,0.0,0.8301020133703702
S2,0.0,0.0,245,3000245,1,0,13,0,0.0,0.834625035564552
S2,0.0,0.0,246,3000246,1,0,12,0,0.0,0.8288448109022435
S2,0.0,0.0,247,3000247,1,0,11,0,0.0,0.8030560057622916
S2,0.0,0.0,248,3000248,1,0,13,0,0.0,0.8277417940461377
S2,0.0,0.0,249,3000249,1,0,12,0,0.0,0.8420051829674062
S2,0.0,0.0,250,3000250,1,0,12,0,0.0,0.8419584430863307
S2,0.0,0.0,251,3000251,1,0,11,0,0.0,0.7941354167380901
S2,0.0,0.0,252,3000252,1,0,12,0,0.0,0.8731947331870654
S2,0.0,0.0,253,3000253,1,0,13,0,0.0,0.8596119543221905
S2,0.0,0.0,254,3000254,1,0,12,0,0.0,0.8623877854446733
S2,0.0,0.0,255,3000255,1,0,12,0,0.0,0.813517250358808
S2,0.0,0.0,256,3000256,1,0,12,0,0.0,0.8272866548851527
S2,0.0,0.0,257,3000257,1,0,13,0,0.0,0.8719427223569884
S2,0.0,0.0,258,3000258,1,0,12,0,0.0,0.8152352223049508
S2,0.0,0.0,259,3000259,1,0,12,0,0.0,0.8676403445450498
S2,0.0,0.0,260,3000260,1,0,12,0,0.0,0.8679987682108592
S2,0.0,0.0,261,3000261,1,0,12,0,0.0,0.827326954523715
S2,0.0,0.0,262,3000262,1,0,13,0,0.0,0.8217462253917368
S2,0.0,0.0,263,3000263,1,0,12,0,0.0,0.854552422194352
S2,0.0,0.0,264,3000264,1,0,12,0,0.0,0.8109718358883619
S2,0.0,0.0,265,3000265,1,0,12,0,0.0,0.8221897382792419
S2,0.0,0.0,266,3000266,1,0,12,0,0.0,0.8774402920736132
S2,0.0,0.0,267,3000267,1,0,12,0,0.0,0.8453425557789482
S2,0.0,0.0,268,3000268,1,0,11,0,0.0,0.8339246872060023
S2,0.0,0.0,269,3000269,1,0,13,0,0.0,0.7905901476873042
S2,0.0,0.0,270,3000270,1,0,13,0,0.0,0.8617924984255266
S2,0.0,0.0,271,3000271,1,0,12,0,0.0,0.8701104419249845
S2,0.0,0.0,272,3000272,1,0,12,0,0.0,0.8761418531833017
S2,0.0,0.0,273,3000273,1,0,13,0,0.0,0.8646373294636034
S2,0.0,0.0,274,3000274,1,0,12,0,0.0,0.8618809206526361
S2,0.0,0.0,275,3000275,1,0,12,0,0.0,0.8386019507137259
S2,0.0,0.0,276,3000276,1,0,12,0,0.0,0.8191735424143984
S2,0.0,0.0,277,3000277,1,0,12,0,0.0,0.8001335899254003
S2,0.0,0.0,278,3000278,1,0,12,0,0.0,0.8126340783247531
S2,0.0,0.0,279,3000279,1,0,12,0,0.0,0.8487334929785645
S2,0.0,0.0,280,3000280,1,0,12,0,0.0,0.8470964160686333
S2,0.0,0.0,281,3000281,1,0,13,0,0.0,0.834529551372899
S2,0.0,0.0,282,3000282,1,0,11,0,0.0,0.8075083705657654
S2,0.0,0.0,283,3000283,1,0,12,0,0.0,0.8245557361898125
S2,0.0,0.0,284,3000284,1,0,12,0,0.0,0.8629932513024166
S2,0.0,0.0,285,3000285,1,0,13,0,0.0,0.8953149464199079
S2,0.0,0.0,286,3000286,1,0,13,0,0.0,0.8477272691631895
S2,0.0,0.0,287,3000287,1,0,11,0,0.0,0.861466446027381
S2,0.0,0.0,288,3000288,1,0,12,0,0.0,0.8734654377479013
S2,0.0,0.0,289,3000289,1,0,12,0,0.0,0.8339960772301839
S2,0.0,0.0,290,3000290,1,0,13,0,0.0,0.8320512129077896
S2,0.0,0.0,291,3000291,1,0,12,0,0.0,0.8088565546284334
S2,0.0,0.0,292,3000292,1,0,13,0,0.0,0.8563683819698003
S2,0.0,0.0,293,3000293,1,0,12,0,0.0,0.8692681445109687
S2,0.0,0.0,294,3000294,1,0,13,0,0.0,0.7922241627639713
S2,0.0,0.0,295,3000295,1,0,11,0,0.0,0.8308497173640638
S2,0.0,0.0,296,3000296,1,0,12,0,0.0,0.8048754145882775
S2,0.0,0.0,297,3000297,1,0,12,0,0.0,0.7934667926060485
S2,0.0,0.0,298,3000298,1,0,12,0,0.0,0.8193082082818522
S2,0.0,0.0,299,3000299,1,0,13,0,0.0,0.7996756552539172
S2,0.0,0.25,0,3000000,1,0,31,157,0.0,1.2087906891643676
S2,0.0,0.25,1,3000001,1,0,24,149,0.0,1.1833721166350701
S2,0.0,0.25,2,3000002,1,0,22,157,0.0,1.1782782506493648
S2,0.0,0.25,3,3000003,1,0,23,204,0.0,1.2052185315907444
S2,0.0,0.25,4,3000004,1,0,22,192,0.0,1.209492289411354
S2,0.0,0.25,5,3000005,1,0,30,166,0.0,1.1983464003425142
S2,0.0,0.25,6,3000006,1,0,26,143,0.0,1.1712198560895026
S2,0.0,0.25,7,3000007,1,0,33,195,0.0,1.2245088675210802
S2,0.0,0.25,8,3000008,1,0,33,185,0.0,1.2106580333743628
S2,0.0,0.25,9,3000009,1,0,212,529,0.0,1.3293325886941418
S2,0.0,0.25,10,3000010,1,0,35,195,0.0,1.2130425199494859
S2,0.0,0.25,11,3000011,1,0,30,145,0.0,1.1660755249201349
S2,0.0,0.25,12,3000012,1,0,29,181,0.0,1.2197148997113785
S2,0.0,0.25,13,3000013,1,0,26,190,0.0,1.241287529273266
S2,0.0,0.25,14,3000014,1,0,23,183,0.0,1.2201184965700218
S2,0.0,0.25,15,3000015,1,0,29,177,0.0,1.206473689748584
S2,0.0,0.25,16,3000016,1,0,39,209,0.0,1.2291672899222945
S2,0.0,0.25,17,3000017,1,0,26,161,0.0,1.203198378218153
S2,0.0,0.25,18,3000018,1,0,29,183,0.0,1.211359566775654
S2,0.0,0.25,19,3000019,1,0,41,159,0.0,1.1947769293458301
S2,0.0,0.25,20,3000020,1,0,25,188,0.0,1.2031424591265523
S2,0.0,0.25,21,3000021,1,0,26,187,0.0,1.2147519091708245
S2,0.0,0.25,22,3000022,1,0,28,192,0.0,1.2158965424201709
S2,0.0,0.25,23,3000023,1,0,27,197,0.0,1.2134128261683987
S2,0.0,0.25,24,3000024,1,0,25,207,0.0,1.2314986203701979
S2,0.0,0.25,25,3000025,1,0,78,260,0.0,1.2691917084159372
S2,0.0,0.25,26,3000026,1,0,32,198,0.0,1.2592938185011993
S2,0.0,0.25,27,3000027,1,0,22,158,0.0,1.2119934475515959
S2,0.0,0.25,28,3000028,1,0,20,148,0.0,1.19266376278637
S2,0.0,0.25,29,3000029,1,0,38,187,0.0,1.2185669107492485
S2,0.0,0.25,30,3000030,1,0,31,198,0.0,1.2418188342497871
S2,0.0,0.25,31,3000031,1,0,55,205,0.0,1.2375345833402829
S2,0.0,0.25,32,3000032,1,0,38,191,0.0,1.2193137514460164
S2,0.0,0.25,33,3000033,1,0,27,216,0.0,1.242375621731169
S2,0.0,0.25,34,3000034,1,0,60,180,0.0,1.2047013013981334
S2,0.0,0.25,35,3000035,1,0,28,271,0.0,1.2670863520835693
S2,0.0,0.25,36,3000036,1,0,46,241,0.0,1.2608967379914964
S2,0.0,0.25,37,3000037,1,0,22,193,0.0,1.210482523164471
