regen,metab,survival_probability,mean_final_population,std_final_population,mean_births,std_births,has_reproduction
0.534,2.889,0.0,0.0,0.0,5537.188,5535.4121306959605,1
0.338,2.725,0.002,0.012,0.2680596948442641,2547.572,3569.5083410486664,1
1.188,1.656,1.0,165.668,13.073399557880881,65206.754,2686.3686585210153,1
0.801,0.586,1.0,225.0,0.0,175.0,0.0,1
0.645,2.719,0.044,2.846,14.592953230926218,17203.364,13894.57884167433,1
1.198,2.497,1.0,120.912,23.19293547613152,87888.75,1804.1643438168264,1
0.948,0.179,1.0,225.0,0.0,175.0,0.0,1
0.005,1.543,0.0,0.0,0.0,256.582,16.768520387917356,1
0.68,2.897,0.0,0.0,0.0,6737.394,6207.991883915764,1
0.078,1.32,0.0,0.0,0.0,309.83,46.265982103485065,1
1.331,0.148,1.0,225.0,0.0,175.0,0.0,1
0.04,2.86,0.0,0.0,0.0,137.478,15.63142719011927,1
0.881,2.945,0.032,2.652,15.38892120975346,16728.902,14500.932627675918,1
0.559,2.671,0.062,3.656,15.36299658269831,15141.846,12037.072568456335,1
0.422,1.187,1.0,90.222,19.0786979639597,57485.162,3804.006484715293,1
1.065,2.976,0.67,61.93,49.488797722312874,58877.194,21323.211341173825,1
0.852,0.776,1.0,225.0,0.0,175.0,0.0,1
1.391,0.695,1.0,225.0,0.0,175.0,0.0,1
0.545,1.72,0.996,80.2,21.968431896701233,55328.824,3512.5947914645662,1
1.073,1.332,1.0,183.446,9.351314559996364,52326.31,2704.15428663011,1
0.447,1.356,1.0,82.504,20.61188938452756,57345.376,3709.4549425251143,1
1.021,2.813,0.73,65.744,47.82662923518654,61152.256,19317.138463097064,1
0.585,2.364,0.636,41.05,36.34973865105498,41176.63,15435.99013452328,1
1.457,2.715,1.0,140.032,22.171580367668877,106797.438,1036.518014390488,1
1.249,2.638,1.0,118.004,27.2103653779217,86360.828,1666.4828671234518,1
0.858,2.083,1.0,102.11,23.01334178253997,69617.382,2713.3031824836676,1
0.896,0.979,1.0,206.586,5.814344675025725,30609.252,1920.4251843006018,1
0.911,2.536,0.81,73.872,43.27465327417425,63820.832,15236.582292488562,1
0.561,0.742,1.0,174.452,10.724164116610673,61526.854,3382.8135432926247,1
0.523,2.004,0.88,60.54,31.082927790026474,48653.064,9896.998855607897,1
0.417,2.325,0.164,8.17,20.868758947287688,15890.078,12931.204094279696,1
0.176,1.003,0.58,26.048,26.18728118763,25240.802,9227.169197039577,1
0.834,1.602,1.0,128.578,17.37952577028499,87565.114,4225.0563973755425,1
0.503,1.149,1.0,108.19,19.226073442073396,63900.09,3513.505175448017,1
0.847,0.674,1.0,225.0,0.0,175.0,0.0,1
0.349,2.34,0.082,3.626,13.457864763772895,7547.108,9068.135480920871,1
1.064,2.978,0.652,60.85,50.50753904121641,58610.32,21650.340310064414,1
1.015,0.747,1.0,225.0,0.0,175.0,0.0,1
0.499,2.961,0.002,0.19,4.2442785017008475,5263.74,5848.864832803029,1
1.407,2.824,1.0,127.398,20.775649111399623,102512.298,1534.0045896919605,1
0.505,1.081,1.0,114.918,17.1353224655972,69215.216,3346.194419537514,1
1.167,0.701,1.0,225.0,0.0,175.0,0.0,1
1.17,0.812,1.0,225.0,0.0,175.0,0.0,1
1.323,2.567,1.0,131.49,21.729654852298047,98011.222,1524.6643383761555,1
0.554,0.827,1.0,154.904,12.997183694939453,61714.05,2398.1882485534784,1
0.131,1.14,0.094,2.72,9.378358065247884,6488.228,5678.726811884509,1
1.033,0.713,1.0,225.0,0.0,175.0,0.0,1
0.706,2.527,0.472,31.788,38.40404999475967,37712.964,17605.282520843113,1
0.327,2.637,0.008,0.244,3.87768797094351,2970.918,4303.786693979617,1
0.411,0.718,1.0,136.826,15.5664936321575,71225.096,3786.4148418766795,1
0.814,2.182,1.0,96.04,23.11593389850386,66745.858,2719.5842082634617,1
0.218,0.377,1.0,138.552,15.825526721092096,70090.832,3710.578504731574,1
0.061,1.098,0.0,0.0,0.0,336.712,15.242212962690163,1
1.013,0.118,1.0,225.0,0.0,175.0,0.0,1
0.987,2.419,0.998,100.984,26.1570591619165,69656.816,2978.7761718773036,1
0.634,0.835,1.0,174.128,11.133715282869415,61043.69,3025.944796241333,1
1.399,1.043,1.0,225.0,0.0,175.0,0.0,1
0.316,1.364,0.854,51.95,29.325952669947483,39079.622,8367.683909847216,1
1.365,0.23,1.0,225.0,0.0,175.0,0.0,1
0.484,3.016,0.0,0.0,0.0,203.658,17.62433079580612,1
0.904,1.193,1.0,174.284,11.34263390928227,62007.782,3427.0714358583186,1
0.666,0.209,1.0,225.0,0.0,175.0,0.0,1
0.543,2.69,0.092,5.412,18.811864766683815,15927.648,13199.073122158843,1
0.84,1.105,1.0,175.58,11.486322300893352,61238.136,3116.607852377966,1
0.405,1.181,1.0,87.296,21.73974204078788,58743.496,3957.236183750472,1
1.368,1.842,1.0,172.09,12.10908336745602,70338.122,3233.5303052725517,1
1.481,1.326,1.0,225.0,0.0,175.0,0.0,1
1.231,1.495,1.0,187.72,8.856274611821837,50353.292,2452.527549842407,1
0.553,1.936,0.95,71.614,28.80647503600536,51856.432,5901.777496769597,1
0.031,2.854,0.0,0.0,0.0,136.984,15.040603179394104,1
0.386,0.348,1.0,225.0,0.0,175.0,0.0,1
1.417,1.574,1.0,203.544,6.316333113444856,36073.27,2161.0847417674304,1
0.14,2.612,0.0,0.0,0.0,191.766,108.33885380600995,1
1.431,0.409,1.0,225.0,0.0,175.0,0.0,1
1.302,0.941,1.0,225.0,0.0,175.0,0.0,1
1.297,0.931,1.0,225.0,0.0,175.0,0.0,1
0.785,0.427,1.0,225.0,0.0,175.0,0.0,1
0.684,0.939,1.0,168.036,12.194043791950232,60856.624,2566.846146270555,1
0.309,0.595,1.0,127.306,17.7906819430847,83367.56,4573.4100304258745,1
1.061,1.552,1.0,159.35,12.455500792822422,64310.224,2604.073199782218,1
0.02,0.172,0.152,4.718,12.5862812617548,10048.222,5270.809064338795,1
0.248,1.938,0.052,1.82,9.21344669491282,3758.258,6439.40110564919,1
1.425,2.548,1.0,139.712,22.07824848125412,105625.428,1569.5145659776465,1
0.395,0.914,1.0,106.178,19.13202331171484,61863.796,3443.270143102919,1
1.415,0.835,1.0,225.0,0.0,175.0,0.0,1
0.358,2.214,0.124,5.142,15.449719609106179,10711.18,10786.82777426246,1
1.421,1.953,1.0,168.94,13.175902246146181,71353.294,3022.574333835977,1
0.135,2.045,0.002,0.02,0.44676615807377357,253.136,238.86262475322502,1
0.615,2.085,0.946,73.224,30.939001664565712,54694.216,6957.98178219403,1
0.078,0.983,0.028,0.282,2.848591932867887,883.914,1417.4526413972358,1
