fold,epoch,train_loss,train_move_loss,train_repro_loss,train_move_acc,train_repro_acc,val_loss,val_move_loss,val_repro_loss,val_move_acc,val_repro_acc
3,3,1.220232,0.238932,0.981300,0.934510,0.516459,1.244911,0.161358,1.083553,0.951235,0.508821
3,4,1.204778,0.225569,0.979209,0.937470,0.518162,1.221424,0.147028,1.074397,0.954854,0.488193
3,5,1.195935,0.217722,0.978214,0.938338,0.519322,1.214671,0.138942,1.075729,0.955578,0.499593
3,6,1.188387,0.211065,0.977322,0.939238,0.520395,1.212049,0.137572,1.074477,0.953949,0.496517
3,7,1.182764,0.206215,0.976549,0.939671,0.520308,1.209019,0.131054,1.077965,0.957206,0.514069
3,8,1.178101,0.201896,0.976205,0.939368,0.523952,1.206562,0.135086,1.071475,0.953768,0.496155
3,9,1.172668,0.196975,0.975692,0.939725,0.526445,1.209733,0.131459,1.078273,0.954582,0.517688
3,10,1.169546,0.194675,0.974871,0.939563,0.527692,1.197183,0.125802,1.071380,0.958292,0.502036
3,11,1.165666,0.190612,0.975055,0.940354,0.528440,1.193685,0.122625,1.071060,0.958744,0.501040
3,12,1.162987,0.188028,0.974958,0.940669,0.528289,1.182460,0.123817,1.058643,0.954040,0.460689
3,13,1.160062,0.185589,0.974473,0.939866,0.530576,1.182220,0.120292,1.061928,0.957749,0.474532
3,14,1.158255,0.183888,0.974367,0.940409,0.529709,1.182475,0.115198,1.067277,0.959830,0.495883
3,15,1.154443,0.180277,0.974166,0.941308,0.532365,1.177594,0.115330,1.062264,0.958563,0.478784
3,16,1.152535,0.178539,0.973996,0.941059,0.531335,1.204280,0.113137,1.091144,0.957206,0.557677
3,17,1.149598,0.175815,0.973783,0.941330,0.535846,1.178074,0.117768,1.060305,0.955668,0.473989
3,18,1.147471,0.173622,0.973849,0.941916,0.532300,1.186547,0.119244,1.067303,0.951778,0.499774
3,19,1.145286,0.171777,0.973509,0.941102,0.534653,1.182811,0.115054,1.067756,0.955306,0.503664
3,20,1.143613,0.169740,0.973872,0.940918,0.534838,1.187541,0.111701,1.075840,0.957206,0.524654
3,21,1.141732,0.167836,0.973896,0.942230,0.534621,1.194580,0.113511,1.081068,0.953497,0.532073
3,22,1.139055,0.165452,0.973603,0.942686,0.535293,1.176615,0.112347,1.064269,0.955487,0.490907
3,23,1.137371,0.163410,0.973962,0.943282,0.535510,1.174144,0.107859,1.066284,0.956301,0.500498
3,24,1.135776,0.162222,0.973554,0.943249,0.534718,1.172068,0.103592,1.068475,0.960644,0.505112
3,25,1.134559,0.160669,0.973890,0.943802,0.536171,1.176813,0.107249,1.069565,0.958473,0.508188
3,26,1.133667,0.160148,0.973519,0.943304,0.535477,1.171823,0.105492,1.066331,0.959468,0.501674
3,27,1.130658,0.157388,0.973270,0.943987,0.534827,1.179548,0.108502,1.071046,0.958382,0.510721
3,28,1.129437,0.156124,0.973313,0.944225,0.535336,1.177499,0.104492,1.073007,0.956301,0.518954
3,29,1.128201,0.154840,0.973360,0.944475,0.535228,1.171965,0.101682,1.070283,0.959920,0.504388
3,30,1.126811,0.153573,0.973238,0.944323,0.534393,1.179304,0.104081,1.075223,0.958473,0.516511
3,31,1.126225,0.153218,0.973007,0.943651,0.535130,1.186671,0.098121,1.088550,0.961549,0.550439
3,32,1.125828,0.152078,0.973750,0.944399,0.536518,1.163344,0.099527,1.063816,0.958473,0.495974
3,33,1.123811,0.150617,0.973194,0.944583,0.535119,1.156650,0.099815,1.056835,0.958835,0.465575
3,34,1.122380,0.149132,0.973248,0.945049,0.533938,1.171137,0.097634,1.073504,0.959378,0.517326
3,35,1.120302,0.147329,0.972974,0.945559,0.534903,1.162020,0.097350,1.064670,0.960373,0.494255
3,36,1.120756,0.147816,0.972940,0.945689,0.535532,1.165949,0.101879,1.064071,0.955125,0.490998
3,37,1.120245,0.147621,0.972624,0.945255,0.534003,1.174135,0.097863,1.076272,0.960644,0.524473
3,38,1.118498,0.145797,0.972701,0.945418,0.535748,1.174803,0.095664,1.079139,0.960825,0.531711
3,39,1.116840,0.144285,0.972556,0.946318,0.534870,1.177944,0.100890,1.077054,0.955668,0.525921
3,40,1.116587,0.144099,0.972488,0.946480,0.535304,1.166248,0.096460,1.069788,0.959378,0.507645
3,41,1.115862,0.143236,0.972625,0.946546,0.534068,1.162564,0.097005,1.065559,0.959106,0.494798
3,42,1.115876,0.142858,0.973018,0.946567,0.534501,1.177651,0.102800,1.074851,0.954763,0.520764
3,43,1.114784,0.142305,0.972479,0.945917,0.534577,1.166317,0.095835,1.070481,0.959468,0.507374
4,1,2.062717,1.101220,0.961497,0.576659,0.471780,1.370804,0.452204,0.918600,0.892895,0.496246
4,2,1.264064,0.308302,0.955762,0.918769,0.507751,1.221968,0.311832,0.910136,0.922983,0.521424
4,3,1.187295,0.233802,0.953494,0.934110,0.507062,1.218408,0.305984,0.912424,0.920442,0.498958
4,4,1.162276,0.209784,0.952492,0.938022,0.508132,1.212233,0.303516,0.908717,0.924752,0.513488
4,5,1.149255,0.198377,0.950877,0.940645,0.511985,1.210176,0.302790,0.907386,0.923725,0.521595
4,6,1.142058,0.192131,0.949927,0.942271,0.511546,1.198401,0.288619,0.909782,0.931232,0.492250
4,7,1.137108,0.187752,0.949356,0.942374,0.511004,1.196734,0.286640,0.910094,0.932660,0.496560
4,8,1.132112,0.183201,0.948910,0.944410,0.514388,1.207326,0.299867,0.907460,0.922897,0.520539
4,9,1.128541,0.179803,0.948738,0.945201,0.517011,1.185785,0.278547,0.907239,0.935543,0.513203
4,10,1.124650,0.176593,0.948057,0.945040,0.516527,1.185985,0.279835,0.906150,0.932203,0.530473
4,11,1.123534,0.175720,0.947814,0.944000,0.518520,1.197582,0.293347,0.904235,0.925209,0.549057
4,12,1.119815,0.171863,0.947952,0.945201,0.519663,1.176679,0.270401,0.906278,0.934858,0.515401
4,13,1.117288,0.169958,0.947330,0.945788,0.520791,1.177312,0.272018,0.905294,0.930747,0.526619
4,14,1.114321,0.167161,0.947160,0.946549,0.523883,1.173902,0.271456,0.902446,0.930205,0.561160
4,15,1.111546,0.164400,0.947146,0.946462,0.522593,1.193847,0.288333,0.905513,0.923611,0.525163
4,16,1.109209,0.162243,0.946967,0.947399,0.524821,1.182742,0.274340,0.908403,0.928321,0.505124
4,17,1.107763,0.160923,0.946839,0.947194,0.525216,1.170203,0.260781,0.909423,0.933088,0.495475
